address,name,area,status,confidence,notes
0x00100008,_start,startup,IDENTIFIED,high,Unpacked ELF entry
0x00102ab0,top_level_gui,frontend,IDENTIFIED,high,Top-level ROM selector / GUI entry from main flow
0x00104e7c,loadModuleBuffer,ps2,RECONSTRUCTED,high,IOP module buffer loader
0x00104f18,main,frontend,PARTIAL,high,Boot and top-level application flow substantially mapped
0x00105750,path_config_block,frontend,PARTIAL,medium-high,Save/config path construction block
0x0010a840,apu_buffer_allocator,audio,IDENTIFIED,high,APU/audio buffer allocation path
0x0012a400,ppu_vram_cache_invalidate,ppu,IDENTIFIED,medium-high,VRAM write/cache invalidation path
0x00142a78,tile_lookup_table_init,renderer,RECONSTRUCTED,high,Builds odd/even high/low tile lookup tables
0x00143780,renderer_4bpp_setup,renderer,IDENTIFIED,medium-high,Renderer state/setup block
0x00145240,renderer_cache_select,renderer,IDENTIFIED,medium-high,Selects tile cache / validity map
0x00151074,CMemory_Init,memory,RECONSTRUCTED,high,Core memory allocator/initializer
0x00151330,per_rom_cleanup,memory,PARTIAL,medium-high,Cleanup path; deliberately not named CMemory::Deinit yet
0x001513bc,CMemory_LoadROM,memory,IDENTIFIED,high,ROM load path proven by failure branch/string
0x00153354,CMemory_LoadSRAM,memory,RECONSTRUCTED,high,SRAM loading path
0x001534b8,CMemory_SaveSRAM,memory,RECONSTRUCTED,high,SRAM saving path
0x00183e04,ConvertTile,renderer,RECONSTRUCTED,very-high,2/4/8bpp VRAM-to-64-byte tile converter
0x0018428c,DrawTile,renderer,RECONSTRUCTED,very-high,Classic 8-bit tile renderer
0x001845a8,DrawClippedTile,renderer,RECONSTRUCTED,very-high,Clipped 8-bit tile renderer
0x00184a40,DrawTilex2,renderer,RECONSTRUCTED,very-high,Horizontal x2 tile renderer
0x00184d5c,DrawClippedTilex2,renderer,RECONSTRUCTED,very-high,Clipped horizontal x2 renderer; C recovered
0x001851f4,DrawTilex2x2,renderer,RECONSTRUCTED,very-high,Horizontal/vertical x2 tile renderer; C recovered
0x00185510,DrawClippedTilex2x2,renderer,RECONSTRUCTED,very-high,Clipped x2x2 renderer; C recovered
0x001859a8,DrawLargePixel,renderer,RECONSTRUCTED,very-high,Large/mosaic pixel expansion path
0x00185d8c,DrawTile16,renderer,RECONSTRUCTED,very-high,Base 16-bit tile renderer; C recovered
0x001860a8,DrawClippedTile16,renderer,RECONSTRUCTED,very-high,Clipped base 16-bit renderer; C recovered
0x00186540,DrawTile16x2,renderer,RECONSTRUCTED,very-high,16-bit horizontal x2 renderer; C recovered
0x0018685c,DrawClippedTile16x2,renderer,RECONSTRUCTED,very-high,Clipped 16-bit x2 renderer; C recovered
0x00186cf4,DrawTile16x2x2,renderer,RECONSTRUCTED,very-high,16-bit x2x2 renderer; C recovered
0x00187010,DrawClippedTile16x2x2,renderer,RECONSTRUCTED,very-high,Clipped 16-bit x2x2 renderer; C recovered
0x001874a8,DrawLargePixel16,renderer,RECONSTRUCTED,very-high,16-bit large/mosaic pixel renderer; C recovered
0x0018789c,DrawTile16Add,renderer,RECONSTRUCTED,very-high,16-bit add colour-math tile renderer; C recovered
